JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ORIGIN_OR_DESTINATION
7183.0,9136.0,9545.0,9234.0,1368.0,3694.0,1424.0,6253.0,2632.0,720.0,1900.0,3395.0, Anguilla
1172.0,,8042.0,6930.0,9377.0,7176.0,8381.0,,8314.0,659.0,5557.0,8060.0, Niger
5342.0,3411.0,4471.0,6576.0,699.0,9571.0,5964.0,8617.0,8954.0,5177.0,8982.0,6364.0, Belgium
,4419.0,1893.0,,1334.0,2491.0,9391.0,6385.0,6245.0,,9033.0,1765.0, El Salvador
2485.0,2844.0,2015.0,7941.0,6834.0,7808.0,3489.0,,5409.0,4899.0,7632.0,1934.0," Saint Helena, Ascension and Tristan da Cunha"
9068.0,7527.0,9826.0,573.0,3746.0,9659.0,2321.0,8266.0,7480.0,9329.0,9305.0,9668.0," Moldova, Republic of"
2786.0,8841.0,4759.0,6191.0,4459.0,5564.0,1120.0,8193.0,2838.0,4244.0,1780.0,5284.0, Mexico
8514.0,9188.0,1065.0,2586.0,230.0,571.0,6009.0,6234.0,6572.0,4006.0,1759.0,5131.0, Benin
255.0,6202.0,4997.0,3005.0,7097.0,5538.0,4179.0,5783.0,4966.0,5281.0,5519.0,9532.0, Palau
8160.0,2168.0,3451.0,99.0,8782.0,4835.0,9890.0,,3832.0,2099.0,1338.0,, Turkmenistan
8105.0,5976.0,,4297.0,3824.0,,3138.0,609.0,4653.0,6350.0,,16.0, Kazakhstan
,2850.0,,5084.0,1330.0,597.0,6236.0,6698.0,6221.0,8949.0,4067.0,9572.0, Fiji
3550.0,5248.0,2100.0,8371.0,,9809.0,3729.0,1593.0,,1011.0,6356.0,8999.0, Åland Islands
4605.0,,4697.0,5705.0,1689.0,7436.0,6736.0,4903.0,,6427.0,7274.0,1306.0, Montenegro
2571.0,6047.0,9904.0,4862.0,8942.0,6995.0,1560.0,4298.0,2245.0,5913.0,1269.0,8026.0, Bosnia and Herzegovina
9550.0,3021.0,846.0,7541.0,1623.0,1291.0,6222.0,5855.0,117.0,9699.0,,4982.0, Netherlands
7898.0,8632.0,7404.0,1257.0,6099.0,4418.0,1405.0,1668.0,6300.0,3112.0,8681.0,3443.0, Serbia
,6318.0,7597.0,3047.0,9725.0,2172.0,,,1921.0,6563.0,6468.0,9451.0, Eritrea
9923.0,7767.0,9780.0,4709.0,1247.0,4095.0,5119.0,4061.0,2280.0,2560.0,8606.0,6927.0, Macao
,,9321.0,398.0,8190.0,9540.0,3736.0,1404.0,137.0,3679.0,3026.0,2419.0, Antarctica
7429.0,6137.0,2222.0,1125.0,6855.0,9744.0,5828.0,9955.0,4346.0,5435.0,,7832.0, Chile
8582.0,7934.0,2606.0,7220.0,,9774.0,5123.0,5004.0,9456.0,7658.0,6764.0,639.0, Uganda
4986.0,5912.0,,2822.0,485.0,4054.0,6988.0,8858.0,,6433.0,3149.0,2471.0, Netherlands
1190.0,9728.0,6292.0,8901.0,3063.0,,,7101.0,9360.0,7776.0,,5886.0, Canada
2207.0,5933.0,6036.0,3350.0,1742.0,,3683.0,,9567.0,3598.0,5356.0,5540.0, Montserrat
714.0,7800.0,337.0,8120.0,3327.0,,9168.0,5383.0,155.0,9559.0,7776.0,4216.0, Comoros
1408.0,8321.0,60.0,4259.0,3490.0,3491.0,,47.0,8524.0,9710.0,2019.0,879.0," Saint Helena, Ascension and Tristan da Cunha"
7746.0,9359.0,235.0,2798.0,7923.0,7771.0,6784.0,4609.0,1699.0,6464.0,856.0,4648.0, Malawi
2909.0,25.0,8476.0,,1083.0,9307.0,1494.0,8239.0,9207.0,,2070.0,232.0, Equatorial Guinea
5209.0,1728.0,3580.0,8347.0,7970.0,6202.0,1532.0,7385.0,4872.0,9484.0,1154.0,9814.0, Maldives
4175.0,2966.0,8368.0,149.0,8951.0,7439.0,6918.0,2522.0,,4032.0,536.0,3417.0, Iraq
9250.0,9767.0,914.0,626.0,6592.0,2342.0,6008.0,,9078.0,3881.0,,5495.0, Japan
3934.0,7248.0,,5139.0,5740.0,7076.0,1308.0,3629.0,7344.0,6788.0,7428.0,2062.0, Barbados
7067.0,474.0,4465.0,548.0,9828.0,9385.0,3824.0,6537.0,5484.0,236.0,1874.0,6134.0," Saint Helena, Ascension and Tristan da Cunha"
8591.0,218.0,6979.0,,8827.0,7679.0,5242.0,3315.0,9139.0,6241.0,161.0,2105.0, Guadeloupe
